age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
38,Private,77516,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2174,0,40,United-States,0
49,Private,83311,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,13,United-States,0
37,Private,215646,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
52,Private,234721,HS-grad,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
27,Private,338409,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
36,Private,284582,HS-grad,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
48,Private,160187,HS-grad,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,16,United-States,0
51,Private,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
30,Private,45781,HS-grad,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,14084,0,50,United-States,1
41,Private,159449,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,40,United-States,1
36,Private,280464,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,80,United-States,1
29,Private,141297,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
22,Private,122272,Some-college,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States,0
31,Private,205019,HS-grad,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,0
33,Private,245487,HS-grad,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,0
24,Private,176756,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,0
31,Private,186824,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
37,Private,28887,HS-grad,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
42,Private,292175,Some-college,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
39,Private,193524,HS-grad,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1
53,Private,302146,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,United-States,0
34,Private,76845,HS-grad,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
42,Private,117037,Some-college,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2042,40,United-States,0
58,Private,109015,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
55,Private,216851,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
18,Private,168294,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
38,Private,367260,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,0
48,Private,193366,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
22,Private,190709,Some-college,12,Never-married,Adm-clerical,Own-child,White,Male,0,0,52,United-States,0
19,Private,266015,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,44,United-States,0
44,Private,386940,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1408,40,United-States,0
29,Private,59951,HS-grad,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
21,Private,311512,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,0
47,Private,242406,HS-grad,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
20,Private,197200,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
18,Private,544091,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States,0
47,Private,265477,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
30,Private,507875,HS-grad,5,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,43,United-States,0
52,Private,88506,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
23,Private,172987,HS-grad,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,0
48,Private,94638,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
24,Private,289980,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,0
56,Private,337895,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
52,Private,144361,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,0
43,Private,128354,HS-grad,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
40,Private,101603,HS-grad,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
28,Private,271466,HS-grad,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,0
24,Private,32275,HS-grad,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
46,Private,51835,HS-grad,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,60,United-States,1
49,Private,251585,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,1
46,Private,109832,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0
42,Private,237993,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
45,Private,216666,HS-grad,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
34,Private,56352,HS-grad,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
40,Private,147372,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,0
29,Private,188146,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,5013,0,40,United-States,0
29,Private,59496,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2407,0,40,United-States,0
47,Private,149640,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
41,Private,116632,HS-grad,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
28,Private,105598,HS-grad,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,58,United-States,0
35,Private,155537,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
27,Private,183175,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
52,Private,169846,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
48,Private,191681,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
18,Private,101509,HS-grad,10,Never-married,Other-service,Own-child,White,Male,0,0,32,United-States,0
30,Private,309974,HS-grad,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
28,Private,162298,HS-grad,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,70,United-States,1
22,Private,211678,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
81,Private,124744,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,0
26,Private,213921,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
39,Private,32214,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
17,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,22,United-States,0
31,Private,125927,HS-grad,4,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
17,Private,446839,11th,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,0
51,Private,276515,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
45,Private,51618,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
58,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,0
43,Private,343591,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,14344,0,40,United-States,1
53,Private,346253,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,0
48,Private,268234,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
32,Private,202051,HS-grad,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
29,Private,54334,HS-grad,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
42,Private,410867,Some-college,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
