age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
39,Private,77516,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,0
50,Self-emp-not-inc,83311,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,13,United-States,0
37,Private,215646,Assoc-acdm,9,Divorced,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
52,Private,234721,Assoc-voc,7,Married-civ-spouse,Sales,Unmarried,White,Female,0,0,40,United-States,0
27,Private,338409,HS-grad,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,0
36,Private,284582,7th-8th,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
49,Private,160187,HS-grad,5,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,16,United-States,0
52,Self-emp-not-inc,209642,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,1
41,Private,159449,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,1
36,Private,280464,7th-8th,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,1
30,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
22,Private,122272,Some-college,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States,0
31,Private,205019,HS-grad,12,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,50,United-States,0
33,Private,245487,10th,4,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,United-States,0
25,Private,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,0
32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0
37,Private,28887,Assoc-acdm,7,Divorced,Tech-support,Not-in-family,White,Male,0,0,50,United-States,0
42,Private,292175,Some-college,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,1
40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
54,Private,302146,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,20,United-States,0
34,Private,76845,Bachelors,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
42,Private,117037,Some-college,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2042,40,United-States,0
58,Private,109015,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
56,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
18,Private,168294,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
39,Private,367260,Bachelors,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,80,United-States,0
49,Private,193366,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
23,Private,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,0
19,Private,266015,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,44,United-States,0
44,Private,386940,Bachelors,13,Divorced,Transport-moving,Husband,White,Male,0,1408,40,United-States,0
30,State-gov,59951,Bachelors,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
22,Private,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,15,United-States,0
47,Private,242406,HS-grad,7,Divorced,Other-service,Unmarried,White,Male,0,0,40,United-States,0
21,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
18,Private,544091,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,25,United-States,0
48,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
31,Private,507875,Masters,5,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,43,United-States,0
53,Private,88506,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
23,Private,172987,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,0
49,Private,94638,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
25,Private,289980,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,0
56,Private,337895,HS-grad,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,1
